,RPT,Company,Date,Time,Type,Title,Speacker,Provenance,Role,Is Q&A,Is Presentation,Is Transcript,Content
0,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Operator,NA,NA,False,True,False,"Thank you, Mr. Stevens. Ladies and gentlemen, we will now conduct the question-and-answer session. (Operator Instructions) SachinShah with Tullett Prebon."
1,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Sachin Shah,Tullett Prebon,Analyst,False,True,False,"Hi, good morning thanks for taking my question. I just wanted to go over the regulatory approvals. I did see that you're expectingthis deal to close kind of mid April, so just was wondering if you could go over that timeline? I did see here that you got someshareholders to support this transaction, so maybe if you could just talk about the background and how you came to this transaction?I missed the first part of the call, so I apologize if you discussed this already."
2,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",False,True,False,"Okay. Yes, there's 39% of the shareholders, well that's basically Management's and the two major shareholders have already lockedup to the deal. As far as how the deal came together, I'm not quite sure on your question, but I'm assuming -- are you talking abouttimeline or --"
3,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Sachin Shah,Tullett Prebon,Analyst,False,True,False,"Yes, so when I say deal came together like were you talking to other parties, was this an auction process, did Teck approach you, Ijust want to understand was this is solely one-off situation with Teck our did the Company solicit other offers and this was the kindof best situation for SilverBirch shareholders as well as Teck shareholders kind of a situation?"
4,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",False,True,False,"Okay, I understand that. Actually no, we've been through a long strategic process almost, actually we are pretty well 12 months now.Once SilverBirch was formed October 2010, we basically got up and running, got settled in. And then starting in January 2011, weformed an informal strategic working group of some of the members of the Board with also our financial advisors joined the teamas well. And we basically look at the strategic options for the Company, understanding the assets that we had. Now of course at thattime, we didn't have any results from our Audet drilling program, so we didn't know the scale of the opportunity. So during the firstsort of three or four months of that strategic process, we were assessing our assets and then getting to understand what we had onthe Audet property. So by sort of mid-year, we had some additional information. We had a pretty good understanding of the scale of the opportunity atAudet. We also had completion of the design basis memorandum, we had the resource update from Frontier and Equinox. Andprobably the key factor was in end of June, we had the revised capital cost estimates for the Frontier and Equinox projects. So again,with those bits of information, we were able to get a pretty good handle on the potential economics of Frontier and Equinox as wellas what the capital quantum that would be required from SilverBirch to stay in the project at 50/50. Now of course all along we had always said at SilverBirch that at some point we would look at our options for how great ourparticipation in the project would be, in the Frontier and Equinox project, and that we'd be quite open to constructive ways to reduceour interest as long as it created value for the shareholders. Now the financial advisors also conducted a confidential low-key process     of contacting potential participants who might be willing to either participate with us, buy our share, any number of the normalkind of things you would consider and that was quite extensive, it was international, but it wasn't a public process. At the same time, commencing in about the mid-summer, we also started negotiations with Teck on our partnership agreement.And that had been a long-standing commitment between both ourselves and Teck, was to form a partnership and properly paperit with a partnership agreement. Through that process, we had to examine value, both parties examine value, and we are lookingat ways to make a good agreement, having learned a lot from our participation also with Teck in the Fort Hills agreement andrecognizing that there were a few things in that agreement that hadn't worked well for a junior partner, particularly during a financialcrisis. So we wanted to come up with a similar partnership agreement but something that provided flexibility for the smaller Company,i.e. SilverBirch. And we work hard with Teck to put that kind of agreement together, and actually had something that we could putin front of our Boards, and ultimately then just two days before Christmas, Teck came back with the offer that we're looking at nowrather than proceed with the partnership approach. So really it was quite a long process, talked to either ourselves or our partners,talked to a lot of different parties over that intervening period and finally came to what we believe now is the offer we have in front--a good offer that we have in front of us now."
5,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Sachin Shah,Tullett Prebon,Analyst,False,True,False,"Okay, perfect. And then just as a kind of what regulatory approvals and then kind of a potential timeline between now and kind ofmid-April, I think that's when you're expecting the deal to close on or before mid-April?"
6,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",False,True,False,"Yes. I'll answer the one I know, Jina, our Legal Counsel, is here as well, so she can fill in. But there's competition acts, is that the --"
7,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Jina Abells Morissette,SilverBirch Energy Corporation,VP,False,True,False,"That's the only one, yes."
8,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Howard Lutley,SilverBirch Energy Corporation,"President, CEO",False,True,False,That's the only one.
9,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Jina Abells Morissette,SilverBirch Energy Corporation,VP,False,True,False,"And then it's a plan of arrangement, so we'll have to get the court order and take all of those steps. So I mean you know how it worksonce we mail the circular the clock starts ticking, but because we are starting SilverWillow, the circular will have a lot of informationin it about the new Company, so that will take some time. So we're still aiming sort of for that end of March/early April closingtimeframe."
10,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Sachin Shah,Tullett Prebon,Analyst,False,True,False,"Okay. And as far as regulatory approval on competition Canada, you're-- I mean this it seems pretty much not an issue, but is thatthe case, as a confirmation?"
11,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Jina Abells Morissette,SilverBirch Energy Corporation,VP,False,True,False,"We wouldn't be so presumptuous to speculate on that, however, we don't foresee any issue there."
12,18609118,TECK RESOURCES LTD,01/09/2012,2:00PM,TCK.B.TO,Teck Resources Limited to acquire SilverBirch,Sachin Shah,Tullett Prebon,Analyst,False,True,False,"Okay, all right. So it's no issue, you're going to go through the process, ultimately they'll make the decision?"
